5669544198668288,Amstel,60,2.6
5635498630447104,Baconzitos,5,3.2
5701847285235712,Bala de Goma,30,0.25
5726299876229120,Barrinha Bauducco Chocolate,40,0.35
5133423731539968,Barrinha Bauducco Goiabinha,40,0.35
5113123132407808,Baton ao Leite,69,0.6
5712721739776000,Baton Branco,60,0.6
5746469042651136,Belvita Avelã e Cacau,15,0.8
5097951932186624,Belvita Cacau e Cereais,15,0.8
6183705739526144,Belvita Leite,16,0.8
5658044692168704,Belvita Mel e Cacau,16,0.8
5635304752939008,Bis Xtra,30,2.1
5722845195796480,Bis Xtra Oreo,30,2.1
4840304897163264,Bolinho Ana Maria Cenoura com Chocolate,32,1.15
5691686818676736,Bolinho Ana Maria Chocolate,35,1.15
5636318331666432,Bolinho Ana Maria Cobertura Chocolate,64,1.15
6247679780716544,Bolinho Ana Maria Duplo Chocolate,32,1.15
5711286146957312,Bolinho Ana Maria Napolitano,34,1.15
5083113893920768,Bombom Chocolate Alpino,70,1
5631986051842048,Bombom Ouro Branco,50,0.55
6309005504806912,Bombom Sonho de Valsa,50,0.55
5663766628794368,Capsula Nespresso Arpeggio,31,2.2
5679289714343936,Capsula Nespresso Capriccio,28,2.2
5657424706928640,Capsula Nespresso Livanto,28,2.2
5743893538668544,Capsula Nespresso Ristretto,30,2.2
5966204804005888,Capsula Nespresso Roma,31,2.2
5678716738863104,Capsula Nespresso Volluto,24,2.2
5165928044036096,Cebolitos,10,3.2
5397466274856960,Charge 40g,30,01.05
4708677705531392,Cheetos Parmesao,10,2
5676073085829120,Cheetos Requeijão,10,2
5183105597964288,Chocolate Lacta 5 Star,18,1.4
6492052246233088,Chokito 32g,60,1
5700305828184064,Club social Integral,12,0.45
5161210659995648,Club social Original,12,0.45
5751919624585216,Coca Cola 220ml,60,1.4
5444637279911936,Coca Cola Coffee 220ml,36,1.9
5641142922117120,Diamante Negro,40,01.05
6307091459342336,Doritos,15,3.2
5720843724259328,DUO Bauducco Chocolate,34,0.6
5128431872245760,Energético Red Bull 250ml,48,5.8
6278949055234048,Fandangos Milho,10,2
5098238218600448,Fandangos Presunto,10,2
5167268409376768,Fanta Laranja 220ml,48,1.4
6241666692284416,Fanta Uva 220ml,24,1.4
5115766785441792,Feel Good Cha Branco,12,3
6514033419091968,Feel Good Cha Verde,12,3
5716735923585024,Fini Morango,28,0.5
5488901179310080,Fini Tubes 3 cores,24,0.5
6281576065269760,Fini Tubes Ácido Morango com Laranja,36,0.5
5166002601984000,Fini Tutti Fruti,24,0.5
5067355793129472,Fruit Tella Caramelo,15,1.1
5744456649146368,Fruit Tella Mastigável Morango,16,1.15
5124820173848576,Fruit Tella Morango,15,1.1
6594261495578624,Goma Eucalipto,50,0.2
5717271485874176,Guaraná lata 350ml,36,1.9
5767545923567616,Halls Cereja,21,0.7
5180943585247232,Halls Extra Forte,21,0.7
5184794560299008,Halls Menta Prata,21,0.7
6053054612766720,Heineken,60,3.5
6240790653173760,Icetea Fuze Cha Verde Abacaxi/Hortelã,18,2.3
6446570052517888,Icetea Fuze Cha Verde Limao,18,2.8
5768068298964992,Icetea Fuze Limao,6,2.3
5204794411057152,Kinder Barrinha,120,1.25
5838129063788544,Kinder Bueno,60,4.85
6569493090271232,Kinder Bueno White,60,5
5370061699153920,KitKat ao Leite 45g,48,1.9
5673923018489856,Kitkat White,48,1.9
5660980839186432,Lacta ao Leite 20g,40,01.05
5979117388300288,Laka 20g,40,01.05
5671404557041664,Laka Oreo,40,01.05
6291827950878720,Lancy,30,1.55
5213437260988416,Lollo 28g,30,01.05
5695604617379840,M&M Tubo,60,2.2
5123376058204160,Mendorato,60,0.35
5746055551385600,Mentos Fruit,16,1.15
5115831881039872,Mentos Menta,16,1.15
6201708665372672,Moça Chocolate,24,1.5
5662692954079232,Oreo,16,1
6224267913986048,Oreo Chocolate,32,1
6555605229633536,Oreo Morango,16,1
5642554087309312,Paçoquita (unidade),100,0.3
5077540167221248,Pão de Mel,45,0.5
6316055592960000,Pastilha Garoto,80,0.5
5156288090603520,Pipoca Microondas Natural,43,2
5139419774320640,Pipoca Nhac,50,0.3
5648554290839552,Polenguinho 17g,143,0.6
6470875977089024,Prestígio 33g,30,1
5670071573676032,Ruffles,16,3.2
4871574171680768,Shot 20g,20,01.05
5076324926357504,Snickers 52g,40,1.7
5745947606777856,Sprite 220ml,24,1.4
5182997653356544,Suco Del Valle Goiaba,12,2
5468446145904640,Suco Del Valle Pessego,12,2
5148336193536000,Suco Del Valle Uva,12,2
5131055862382592,Talento Avelã,30,1.2
5163349922807808,Talento Castanha do Para,30,1.2
5115895366025216,Talento Diet Avelã,30,2.5
5133395210272768,Talento Meio Amargo Amendoas,30,1.2
6310694467141632,Tic Tac Laranja,28,1.3
5702666986455040,Tic Tac Menta,28,1.3
5085604337418240,Toddynho 200ml,135,1.55
5757334940811264,Torcida Bacon,20,1.3
4909449173008384,Torcida Pizza,20,1.3
5958538555817984,Trident Fresh Cereja,21,0.85
5110973065068544,Trident Fresh Intense,21,0.85
6025368515379200,Trident Hortela,21,0.85
6027422583488512,Trident Melancia,21,0.85
4903319583588352,Trident Menta,21,0.85
5200442736771072,Trident Tutti Fruti,21,0.85
6035554063876096,Twix 15g,60,0.55
6329179939274752,Wafer Passatempo Chocolate,28,0.55
6594346052747264,Wafer Passatempo Morango,18,0.55